case_id,case_type,question,response,reference_answer,is_positive,abstained,context_precision,context_recall,faithfulness,answer_relevancy,answer_correctness,errors
rag_pos_001,direct,什么是大型语言模型？,大型语言模型（LLM）是一种人工智能模型，旨在理解和生成自然语言。它可以处理多种自然语言任务，如文本分类、问答、翻译和对话等。通常，大型语言模型是指包含数千亿或更多参数的模型，这些参数是在大量文本数据上训练的。典型的例子包括GPT-3、ChatGPT、PaLM、BLOOM和LLaMA等。,大型语言模型是一类旨在理解和生成人类语言的人工智能模型。,True,False,0.99999999995,1.0,1.0,0.8255482561380655,0.46083820584706314,{}
rag_pos_002,paraphrase,LLM 可以处理哪些自然语言任务？,LLM可以处理多种自然语言任务，如文本分类、问答、翻译、对话等。,可处理文本分类、问答、翻译和对话等自然语言任务。,True,False,0.9999999999,1.0,1.0,0.9527872845620982,0.8685617228263649,{}
rag_pos_003,direct,大型语言模型经历了哪些发展阶段？,"大型语言模型经历了三个发展阶段：

1. **第一阶段**：设计一系列的自监督训练目标（如MLM、NSP等），设计新颖的模型架构（如Transformer），遵循预训练和微调的范式。典型代表是BERT、GPT、XLNet等。

2. **第二阶段**：逐步扩大模型参数和训练语料规模，探索不同类型的架构。典型代表是BART、T5、GPT-3等。

3. **第三阶段**：走向AIGC（人工智能生成内容）时代，模型参数规模步入千万亿，模型架构为自回归架构，强调与人类交互，典型代表是InstructionGPT、ChatGPT、Bard、GPT-4等。",材料按早期语言模型、预训练语言模型以及面向对话和生成的大模型阶段介绍其发展。,True,False,0.99999999995,1.0,1.0,0.8777609085706244,0.9378136016550657,{}
rag_pos_004,direct,语言模型的标准定义是什么？,"语言模型的标准定义是：对于某个句子序列，如S = {W1, W2, W3, …, Wn}，语言模型就是计算该序列发生的概率，即P(S)。如果给定的词序列符合语用习惯，则给出高概率，否则给出低概率。",语言模型对词汇序列的生成概率进行建模。,True,False,0.99999999995,1.0,1.0,0.8909144371571788,0.19750243952784333,{}
rag_pos_005,paraphrase,语言模型主要可以分成哪些类型？,语言模型主要可以分为四种类型：基于规则和统计的语言模型、神经语言模型、预训练语言模型和大语言模型。,材料介绍了规则、统计、神经网络以及预训练语言模型等类别。,True,False,0.99999999995,1.0,1.0,0.8795539032792427,0.6842349778239823,{}
rag_pos_006,reasoning,为什么句子的联合概率不能直接简单计算？,句子的联合概率不能直接简单计算的原因主要有两个缺陷：参数空间过大和数据稀疏严重。参数空间过大意味着条件概率的可能性太多，无法有效估算；而数据稀疏严重则是指许多词对的组合在语料库中可能没有出现，导致依据最大似然估计得到的概率为0。这使得直接计算句子的联合概率变得不切实际。,词序列组合空间很大且存在数据稀疏问题，因此通常引入马尔可夫假设和 N-gram 近似。,True,False,0.99999999995,1.0,1.0,0.8539159243685437,0.15959047875990634,{}
rag_pos_007,direct,什么是马尔可夫假设？,马尔可夫假设是指随意一个词出现的概率只与它前面出现的有限的一个或者几个词有关。这意味着当前词的出现与它周围的词是独立的，从而形成了N元模型的基础。,一个词出现的概率只与它前面有限数量的词有关。,True,False,0.9999999999,1.0,0.6666666666666666,0.6730361308025433,0.5482917645002068,{}
rag_pos_008,direct,unigram、bigram 和 trigram 有什么区别？,"unigram、bigram 和 trigram 的区别在于它们对词出现概率的依赖程度：

1. **Unigram（1元模型）**：一个词的出现概率与其他词无关，完全独立。
2. **Bigram（2元模型）**：一个词的出现概率仅依赖于它前面出现的一个词。
3. **Trigram（3元模型）**：一个词的出现概率仅依赖于它前面出现的两个词。

一般来说，N元模型假设当前词的出现概率只与它前面的N-1个词有关。",三者分别不依赖前词、依赖前一个词、依赖前两个词来估计当前词概率。,True,False,0.9999999999,1.0,1.0,0.98151318122984,0.9141613139954918,{}
rag_pos_009,paraphrase,N-gram 语言模型有哪些优点和缺点？,N-gram语言模型的优点包括：采用极大似然估计，参数易训练；完全包含了前n-1个词的全部信息；可解释性强，直观易理解。缺点则有：缺乏长期依赖，只能建模到前n-1个词；随着n的增大，参数空间呈指数增长；数据稀疏，难免会出现OOV问题；单纯基于统计频次，泛化能力差。,N-gram 简单、可解释且易实现，但会遇到数据稀疏、上下文受限和存储开销等问题。,True,False,0.99999999995,1.0,1.0,0.9568677461267306,0.4203133232938028,{}
rag_pos_010,direct,神经网络语言模型由哪些层组成？,神经网络语言模型由三层组成：输入层、隐藏层和输出层。输入层将前n-1个词的词向量拼接成一个大向量，隐藏层使用全连接层和激活函数进行处理，输出层也是一个全连接层，输出每个词语的未归一化log概率，并通过softmax激活函数进行归一化。,基本结构包含词向量输入、隐藏层和用于预测下一词概率的输出层。,True,False,0.99999999995,1.0,1.0,0.7824620275387493,0.8118846394230002,{}
